zone_id,lat,lng,slope_deg,rainfall_24h_mm,rainfall_72h_mm,soil_moisture_pct,distance_to_fault_km,past_landslide
sohra_01,25.2840,91.7362,42,80,210,78,1.2,1
sohra_02,25.2900,91.7400,38,65,180,70,1.5,1
mawsynram_01,25.2960,91.5820,45,90,240,82,0.8,1
mawsynram_02,25.3000,91.5900,30,55,150,60,3.0,0
nongstoin_01,25.5200,91.2700,20,30,90,45,5.5,0
nongstoin_02,25.5300,91.2800,25,35,100,48,4.8,0
shillong_01,25.5788,91.8933,35,60,170,65,2.1,1
shillong_02,25.5700,91.8800,18,25,80,40,6.0,0
jowai_01,25.4500,92.2000,40,75,200,75,1.0,1
jowai_02,25.4600,92.2100,22,28,85,42,5.0,0
tura_01,25.5100,90.2100,15,20,70,35,7.0,0
tura_02,25.5200,90.2200,33,58,160,62,2.8,0
williamnagar_01,25.4900,90.6200,44,85,220,80,1.1,1
williamnagar_02,25.5000,90.6300,19,22,75,38,6.5,0
baghmara_01,25.1900,90.6300,28,45,130,55,3.5,0
synthetic_001,27.2825,95.9056,21.9,9.9,17.3,73.1,5.24,0
synthetic_002,26.1875,93.2312,47.8,55.5,125.0,21.7,4.84,1
synthetic_003,24.2663,90.6057,37.9,56.4,125.7,21.5,0.35,0
synthetic_004,23.9827,94.3713,31.9,65.6,150.6,42.7,3.48,0
synthetic_005,24.2485,95.0528,12.0,74.0,168.4,54.2,3.86,1
synthetic_006,26.3733,91.7173,12.0,97.7,258.8,73.9,4.05,1
synthetic_007,25.8069,95.5003,7.6,54.0,134.1,67.8,5.84,0
synthetic_008,23.426,95.843,44.0,35.7,85.8,51.2,5.38,1
synthetic_009,23.3705,91.4383,32.1,80.5,204.7,39.2,6.12,1
synthetic_010,22.992,96.3847,36.9,30.7,82.1,89.8,7.67,1
synthetic_011,25.8015,90.485,5.9,46.7,106.0,49.8,8.15,0
synthetic_012,26.3219,90.9141,48.6,12.5,30.9,51.6,7.21,1
synthetic_013,23.8252,90.7896,42.5,7.4,22.5,31.5,9.56,0
synthetic_014,22.6047,95.7579,14.6,96.5,216.8,75.6,0.28,1
synthetic_015,22.9109,94.08,13.2,84.4,245.7,68.6,2.04,1
synthetic_016,27.3393,90.5647,13.3,71.1,207.5,35.5,0.17,0
synthetic_017,23.9772,92.5823,18.7,43.9,94.6,25.8,6.51,0
synthetic_018,26.3461,93.8071,28.6,21.5,61.0,67.6,8.99,0
synthetic_019,25.6233,90.0842,24.4,19.9,61.9,65.8,2.51,0
synthetic_020,24.4097,95.6769,18.1,28.8,73.4,39.1,9.28,0
synthetic_021,23.5284,95.1252,32.5,57.2,141.7,86.6,0.7,1
synthetic_022,23.1069,93.0364,11.3,72.9,172.3,30.6,9.35,0
synthetic_023,25.5751,96.2699,18.1,67.7,176.9,50.3,3.58,1
synthetic_024,26.3732,92.4243,21.5,31.6,87.8,86.1,1.1,1
synthetic_025,25.7195,96.3888,25.5,95.7,256.4,49.4,4.91,1
synthetic_026,25.1515,94.1754,40.3,75.1,177.8,64.7,2.64,1
synthetic_027,22.7098,93.9427,14.0,57.7,143.7,47.8,2.92,1
synthetic_028,27.3424,90.6617,28.1,63.1,177.4,39.2,3.14,1
synthetic_029,26.4936,95.6735,31.7,44.9,102.8,88.9,8.05,1
synthetic_030,23.9641,92.4924,7.1,28.5,63.6,48.7,5.44,0
synthetic_031,27.3999,90.6356,32.3,38.8,100.3,82.6,3.18,0
synthetic_032,25.5094,89.5883,12.7,77.0,231.2,36.1,6.14,0
synthetic_033,25.4121,93.4183,7.9,6.4,26.4,34.9,7.19,0
synthetic_034,26.2404,93.1918,47.7,16.0,42.5,22.2,2.8,0
synthetic_035,26.5588,94.5355,48.5,9.4,14.9,65.6,4.19,1
synthetic_036,25.7824,95.7318,41.4,8.9,18.2,45.8,1.31,1
